code,year,gender,e0
FRATNP,1835,total,39.52
FRATNP,1836,total,42
FRATNP,1837,total,39.42
FRATNP,1838,total,39.37
FRATNP,1839,total,40.95
FRATNP,1840,total,40.41
FRATNP,1841,total,40.71
FRATNP,1842,total,40.03
FRATNP,1843,total,40.79
FRATNP,1844,total,42.33
FRATNP,1845,total,43.61
FRATNP,1846,total,40.7
FRATNP,1847,total,40.45
FRATNP,1848,total,40.33
FRATNP,1849,total,35.95
FRATNP,1850,total,43.31
FRATNP,1851,total,41.8
FRATNP,1852,total,41.35
FRATNP,1853,total,42.55
FRATNP,1854,total,36.16
FRATNP,1855,total,37.56
FRATNP,1856,total,40.19
FRATNP,1857,total,39.6
FRATNP,1858,total,39.71
FRATNP,1859,total,35.32
FRATNP,1860,total,43.35
FRATNP,1861,total,40.58
FRATNP,1862,total,42.7
FRATNP,1863,total,41.82
FRATNP,1864,total,42.06
FRATNP,1865,total,40.2
FRATNP,1866,total,41.82
FRATNP,1867,total,42.41
FRATNP,1868,total,40.29
FRATNP,1869,total,41.12
FRATNP,1870,total,36.52
FRATNP,1871,total,29.74
FRATNP,1872,total,42.5
FRATNP,1873,total,41.87
FRATNP,1874,total,44.29
FRATNP,1875,total,43.19
FRATNP,1876,total,43.59
FRATNP,1877,total,44.29
FRATNP,1878,total,43.37
FRATNP,1879,total,43.98
FRATNP,1880,total,42.79
FRATNP,1881,total,43.48
FRATNP,1882,total,43.14
FRATNP,1883,total,43.27
FRATNP,1884,total,42.46
FRATNP,1885,total,43.94
FRATNP,1886,total,43.17
FRATNP,1887,total,43.72
FRATNP,1888,total,44.15
FRATNP,1889,total,45.54
FRATNP,1890,total,43.43
FRATNP,1891,total,44.11
FRATNP,1892,total,43.56
FRATNP,1893,total,43.55
FRATNP,1894,total,45.49
FRATNP,1895,total,45.26
FRATNP,1896,total,47.49
FRATNP,1897,total,47.88
FRATNP,1898,total,46.01
FRATNP,1899,total,45.17
FRATNP,1900,total,45.1
FRATNP,1901,total,47
FRATNP,1902,total,47.98
FRATNP,1903,total,48.4
FRATNP,1904,total,48.07
FRATNP,1905,total,48.38
FRATNP,1906,total,47.73
FRATNP,1907,total,48.3
FRATNP,1908,total,49.29
FRATNP,1909,total,50.01
FRATNP,1910,total,51.35
FRATNP,1911,total,48.21
FRATNP,1912,total,51.55
FRATNP,1913,total,51.36
FRATNP,1914,total,38.23
FRATNP,1915,total,36.55
FRATNP,1916,total,39.75
FRATNP,1917,total,42.97
FRATNP,1918,total,34.84
FRATNP,1919,total,47.14
FRATNP,1920,total,51.82
FRATNP,1921,total,52.69
FRATNP,1922,total,54.89
FRATNP,1923,total,54.59
FRATNP,1924,total,55.19
FRATNP,1925,total,54.35
FRATNP,1926,total,53.96
FRATNP,1927,total,55.74
FRATNP,1928,total,55.41
FRATNP,1929,total,54.24
FRATNP,1930,total,56.8
FRATNP,1931,total,56.9
FRATNP,1932,total,57.22
FRATNP,1933,total,57.65
FRATNP,1934,total,58.3
FRATNP,1935,total,58.28
FRATNP,1936,total,58.76
FRATNP,1937,total,59.11
FRATNP,1938,total,58.93
FRATNP,1939,total,59.55
FRATNP,1940,total,49.6
FRATNP,1941,total,57.42
FRATNP,1942,total,57.44
FRATNP,1943,total,53.3
FRATNP,1944,total,47.17
FRATNP,1945,total,54.93
FRATNP,1946,total,62.36
FRATNP,1947,total,63.95
FRATNP,1948,total,65.78
FRATNP,1949,total,64.9
FRATNP,1950,total,66.38
FRATNP,1951,total,66.09
FRATNP,1952,total,67.39
FRATNP,1953,total,67.32
FRATNP,1954,total,68.19
FRATNP,1955,total,68.44
FRATNP,1956,total,68.46
FRATNP,1957,total,68.89
FRATNP,1958,total,70.11
FRATNP,1959,total,70.17
FRATNP,1960,total,70.37
FRATNP,1961,total,70.96
FRATNP,1962,total,70.47
FRATNP,1963,total,70.32
FRATNP,1964,total,71.28
FRATNP,1965,total,71.11
FRATNP,1966,total,71.51
FRATNP,1967,total,71.5
FRATNP,1968,total,71.48
FRATNP,1969,total,71.2
FRATNP,1970,total,72.09
FRATNP,1971,total,72.07
FRATNP,1972,total,72.31
FRATNP,1973,total,72.47
FRATNP,1974,total,72.8
FRATNP,1975,total,72.9
FRATNP,1976,total,73.12
FRATNP,1977,total,73.73
FRATNP,1978,total,73.85
FRATNP,1979,total,74.12
FRATNP,1980,total,74.23
FRATNP,1981,total,74.4
FRATNP,1982,total,74.77
FRATNP,1983,total,74.74
FRATNP,1984,total,75.22
FRATNP,1985,total,75.31
FRATNP,1986,total,75.58
FRATNP,1987,total,76.15
FRATNP,1988,total,76.4
FRATNP,1989,total,76.54
FRATNP,1990,total,76.84
FRATNP,1991,total,77.01
FRATNP,1992,total,77.3
FRATNP,1993,total,77.35
FRATNP,1994,total,77.77
FRATNP,1995,total,77.87
FRATNP,1996,total,78.06
FRATNP,1997,total,78.43
FRATNP,1998,total,78.59
FRATNP,1999,total,78.75
FRATNP,2000,total,79.05
FRATNP,2001,total,79.23
FRATNP,2002,total,79.42
FRATNP,2003,total,79.43
FRATNP,2004,total,80.34
FRATNP,2005,total,80.34
FRATNP,2006,total,80.74
FRATNP,2007,total,80.96
FRATNP,2008,total,81.04
FRATNP,2009,total,81.16
FRATNP,2010,total,81.41
FRATNP,2011,total,81.79
FRATNP,2012,total,81.74
FRATNP,2013,total,81.98
FRATNP,2014,total,82.43
FRATNP,2015,total,82.15
FRATNP,2016,total,82.39
GBR_NIR,1922,total,54.43
GBR_NIR,1923,total,55.55
GBR_NIR,1924,total,54.19
GBR_NIR,1925,total,54.4
GBR_NIR,1926,total,55.24
GBR_NIR,1927,total,56.72
GBR_NIR,1928,total,56.89
GBR_NIR,1929,total,55.14
GBR_NIR,1930,total,58.6
GBR_NIR,1931,total,57.63
GBR_NIR,1932,total,57.76
GBR_NIR,1933,total,57.12
GBR_NIR,1934,total,58.55
GBR_NIR,1935,total,56.73
GBR_NIR,1936,total,58.15
GBR_NIR,1937,total,58.06
GBR_NIR,1938,total,59.11
GBR_NIR,1939,total,60.63
GBR_NIR,1940,total,58.07
GBR_NIR,1941,total,57.76
GBR_NIR,1942,total,60.47
GBR_NIR,1943,total,60.93
GBR_NIR,1944,total,62.51
GBR_NIR,1945,total,63.39
GBR_NIR,1946,total,63.93
GBR_NIR,1947,total,64.08
