year,AUS_female,AUS_male,AUT_female,AUT_male,BEL_female,BEL_male,BGR_female,BGR_male,BLR_female,BLR_male,CAN_female,CAN_male,CHE_female,CHE_male,CHL_female,CHL_male,CZE_female,CZE_male,DEUTE_female,DEUTE_male,DEUTNP_female,DEUTNP_male,DEUTW_female,DEUTW_male,DNK_female,DNK_male,ESP_female,ESP_male,EST_female,EST_male,FIN_female,FIN_male,FRACNP_female,FRACNP_male,FRATNP_female,FRATNP_male,GBR_NIR_female,GBR_NIR_male,GBR_NP_female,GBR_NP_male,GBR_SCO_female,GBR_SCO_male,GBRCENW_female,GBRCENW_male,GBRTENW_female,GBRTENW_male,GRC_female,GRC_male,HRV_female,HRV_male,HUN_female,HUN_male,IRL_female,IRL_male,ISL_female,ISL_male,ISR_female,ISR_male,ITA_female,ITA_male,JPN_female,JPN_male,KOR_female,KOR_male,LTU_female,LTU_male,LUX_female,LUX_male,LVA_female,LVA_male,NLD_female,NLD_male,NOR_female,NOR_male,NZL_MA_female,NZL_MA_male,NZL_NM_female,NZL_NM_male,NZL_NP_female,NZL_NP_male,POL_female,POL_male,PRT_female,PRT_male,RUS_female,RUS_male,SVK_female,SVK_male,SVN_female,SVN_male,SWE_female,SWE_male,TWN_female,TWN_male,UKR_female,UKR_male,USA_female,USA_male
1955,0.45999999999999375,0.1599999999999966,0.480000000000004,0.07000000000000739,0.10999999999999943,-0.1799999999999926,0.3999999999999915,0.47000000000000597,NA,NA,0.1799999999999926,-0.030000000000001137,0.04999999999999716,0.12000000000000455,NA,NA,0.980000000000004,0.8599999999999994,NA,NA,NA,NA,NA,NA,0.6499999999999915,0.5,-0.14000000000000057,-0.25,NA,NA,0.009999999999990905,-0.39000000000000057,0.3300000000000125,0.20000000000000284,0.3300000000000125,0.20000000000000284,-0.1599999999999966,0.10999999999999943,-0.04000000000000625,-0.03999999999999204,0.0799999999999983,0.22999999999998977,-0.04999999999999716,-0.0799999999999983,-0.04999999999999716,-0.0799999999999983,NA,NA,NA,NA,1.5,1.4399999999999977,-0.04999999999999716,0.020000000000010232,0.3100000000000023,-0.35999999999999943,NA,NA,0.480000000000004,0.29999999999999716,1.2000000000000028,1.1499999999999986,NA,NA,NA,NA,NA,NA,NA,NA,0.2600000000000051,-0.01999999999999602,0.25,0.20000000000000284,-1.4499999999999957,0.7999999999999972,0.22999999999998977,0.18000000000000682,0.14000000000000057,0.12999999999999545,NA,NA,-0.8500000000000014,-0.730000000000004,NA,NA,1.4300000000000068,0.8799999999999955,NA,NA,0.28000000000000114,0.18999999999999773,NA,NA,NA,NA,0.09999999999999432,0.010000000000005116
1956,-0.20000000000000284,-0.04999999999999716,0.18000000000000682,0.06999999999999318,0.37000000000000455,0.20999999999999375,0.4000000000000057,0.36999999999999744,NA,NA,-0.060000000000002274,0,0.30000000000001137,-0.030000000000001137,NA,NA,0.4200000000000017,0.35999999999999943,NA,NA,NA,NA,NA,NA,0.25,0.010000000000005116,0.09000000000000341,0.010000000000005116,NA,NA,0.5200000000000102,0.7399999999999949,0.12999999999999545,-0.060000000000002274,0.12999999999999545,-0.060000000000002274,1.0100000000000051,0.730000000000004,0.3299999999999983,0.21999999999999886,0.5799999999999983,0.20000000000000284,0.28000000000000114,0.18999999999999773,0.28000000000000114,0.18999999999999773,NA,NA,NA,NA,-0.37000000000000455,-1.3900000000000006,1.0699999999999932,0.8599999999999994,-1.6199999999999903,0.75,NA,NA,-0.5499999999999972,-0.6599999999999966,-0.09999999999999432,-0.18999999999999773,NA,NA,NA,NA,NA,NA,NA,NA,0.01999999999999602,0.030000000000001137,0.18999999999999773,-0.07000000000000739,0.4399999999999977,-0.10000000000000142,0.27000000000001023,0.14000000000000057,0.29000000000000625,0.2400000000000091,NA,NA,-0.18999999999999773,-0.259999999999998,NA,NA,0.6099999999999994,0.46000000000000796,NA,NA,0.25,-0.09000000000000341,NA,NA,NA,NA,0.15000000000000568,0.030000000000001137
1957,0.4099999999999966,0.1599999999999966,-0.030000000000001137,-0.4200000000000017,0.29999999999999716,0.4099999999999966,1.3799999999999955,1.3700000000000045,NA,NA,0.1600000000000108,-0.21999999999999886,0.519999999999996,0.1700000000000017,NA,NA,-0.28000000000000114,-0.37999999999999545,-0.36999999999999034,-0.5600000000000023,NA,NA,0.1700000000000017,-0.11000000000001364,-0.21999999999999886,-0.25,-0.12999999999999545,-0.23000000000000398,NA,NA,-0.5800000000000125,-0.46999999999999886,0.539999999999992,0.3199999999999932,0.539999999999992,0.3199999999999932,-0.07000000000000739,-0.5400000000000063,0.21999999999999886,0.01999999999999602,0.18000000000000682,-0.09999999999999432,0.23000000000000398,0.060000000000002274,0.23000000000000398,0.060000000000002274,NA,NA,NA,NA,0.10999999999999943,0.5400000000000063,-0.0799999999999983,0.14999999999999147,0.8199999999999932,0.23000000000000398,NA,NA,0.28000000000000114,0,-0.05000000000001137,-0.1600000000000037,NA,NA,NA,NA,NA,NA,NA,NA,0.46999999999999886,0.4099999999999966,0,-0.0899999999999892,-1.4600000000000009,-1.5899999999999963,-0.1600000000000108,-0.5300000000000011,-0.2600000000000051,-0.6600000000000108,NA,NA,0.259999999999998,0.1700000000000017,NA,NA,-0.9099999999999966,-0.9000000000000057,NA,NA,-0.13000000000000966,-0.20999999999999375,NA,NA,NA,NA,-0.21000000000000796,-0.25
1958,0.5600000000000023,0.5099999999999909,0.8599999999999994,1.1200000000000045,0.6700000000000017,0.7400000000000091,2.0799999999999983,2.1599999999999966,NA,NA,0.7000000000000028,0.6099999999999994,0.7800000000000011,0.7099999999999937,NA,NA,0.9500000000000028,0.9200000000000017,0.4399999999999977,0.6500000000000057,NA,NA,0.7399999999999949,0.8500000000000085,0.5400000000000063,0.3299999999999983,2.1699999999999875,2.240000000000009,NA,NA,1.1200000000000045,1.1800000000000068,1.0200000000000102,1.3599999999999994,1.0200000000000102,1.3599999999999994,0.6200000000000045,0.269999999999996,0.1700000000000017,0.18000000000000682,-0.010000000000005116,0.3100000000000023,0.1799999999999926,0.1599999999999966,0.1799999999999926,0.1599999999999966,NA,NA,NA,NA,0.9399999999999977,1.2399999999999949,0.4899999999999949,0.0799999999999983,0.8400000000000034,-0.8400000000000034,NA,NA,1.0900000000000034,1.0499999999999972,1.6899999999999977,1.4799999999999969,NA,NA,NA,NA,NA,NA,NA,NA,0.2600000000000051,0.0799999999999983,0,-0.010000000000005116,3.990000000000002,2.1899999999999977,0.2600000000000051,0.5700000000000074,0.46000000000000796,0.730000000000004,NA,NA,2.4000000000000057,2.239999999999995,NA,NA,2.009999999999991,1.769999999999996,NA,NA,0.5300000000000011,0.7800000000000011,NA,NA,NA,NA,0.2600000000000051,0.23999999999999488
1959,-0.28000000000000114,-0.519999999999996,0.01999999999999602,-0.14000000000000057,0.4899999999999949,0.3199999999999932,-2.2099999999999937,-1.960000000000008,NA,NA,-0.030000000000001137,0.0799999999999983,0.1599999999999966,0.1700000000000017,NA,NA,0.04000000000000625,-0.20000000000000284,-0.04999999999999716,-0.18999999999999773,NA,NA,0.2400000000000091,0.12999999999999545,-0.1599999999999966,0.10999999999999943,0,-0.1600000000000108,NA,NA,0.4399999999999977,-0.05000000000001137,0.12999999999999545,0.010000000000005116,0.12999999999999545,0.010000000000005116,-0.3400000000000034,0.04000000000000625,0.10999999999999943,0.12999999999999545,0.1700000000000017,-0.18000000000000682,0.12000000000000455,0.1600000000000108,0.12000000000000455,0.1600000000000108,NA,NA,NA,NA,0.04999999999999716,-0.269999999999996,0.29000000000000625,0.030000000000001137,-0.29999999999999716,-1.0699999999999932,NA,NA,0.45999999999999375,0.4399999999999977,0.480000000000004,0.35999999999999943,NA,NA,NA,NA,NA,NA,NA,NA,0.3299999999999983,-0.20999999999999375,0.2600000000000051,0,-1.3599999999999994,1.0200000000000031,-0.0799999999999983,-0.13000000000000966,-0.09000000000000341,-0.10999999999999943,-0.30000000000001137,-0.4100000000000037,-0.7199999999999989,-0.8599999999999994,NA,NA,-0.23999999999999488,-0.4399999999999977,NA,NA,0.4000000000000057,0.04999999999999716,NA,NA,NA,NA,0.3100000000000023,0.15000000000000568
1960,0.3100000000000023,0.5100000000000051,0.5100000000000051,0.20000000000000284,-0.4299999999999926,-0.9000000000000057,2.719999999999999,2.3800000000000097,2.8400000000000034,2.680000000000007,0.5,0.25,0,-0.06999999999999318,NA,NA,0.6599999999999966,0.45999999999999375,0.3999999999999915,0.18999999999999773,NA,NA,-0.15000000000000568,-0.28999999999999204,0.11999999999999034,-0.1599999999999966,0.5900000000000034,0.4300000000000068,1.039999999999992,0.27000000000001023,0.2400000000000091,0.1700000000000017,0.25,0.1599999999999966,0.25,0.1599999999999966,0.18999999999999773,0.010000000000005116,0.28000000000000114,0.12000000000000455,0.37000000000000455,0.3499999999999943,0.2600000000000051,0.09999999999999432,0.2600000000000051,0.09999999999999432,NA,NA,NA,NA,0.6500000000000057,0.8599999999999994,0.5699999999999932,0.8800000000000097,0.10999999999999943,2.6099999999999994,NA,NA,0.04999999999999716,-0.22999999999998977,0.3500000000000085,0.18999999999999773,NA,NA,2.3900000000000006,2.6199999999999903,NA,NA,0.8500000000000085,0.7199999999999989,0.12999999999999545,0.20000000000000284,0.06999999999999318,-0.030000000000001137,-0.05000000000000426,-1.2199999999999989,0.5600000000000023,0.4099999999999966,0.5600000000000023,0.3400000000000034,2.3100000000000023,2.200000000000003,1.1999999999999886,1.2600000000000051,1.1500000000000057,0.8200000000000003,1.25,1.4099999999999966,NA,NA,-0.3200000000000074,-0.3400000000000034,NA,NA,1.5999999999999943,1.6099999999999994,-0.010000000000005116,-0.12999999999999545
1961,0.46999999999999886,0.09000000000000341,0.8699999999999903,1.019999999999996,0.8900000000000006,0.8400000000000034,1.1499999999999915,0.9699999999999989,0.75,0.6899999999999977,0.3199999999999932,0.1700000000000017,0.46999999999999886,0.18999999999999773,NA,NA,0.20000000000000284,0.12000000000000455,0.8500000000000085,0.789999999999992,NA,NA,0.5600000000000023,0.45999999999999375,0.39000000000000057,0.12999999999999545,0.29999999999999716,0.4099999999999966,0.2600000000000051,0.38999999999998636,-0.1600000000000108,0.18999999999999773,0.7600000000000051,0.4399999999999977,0.7600000000000051,0.4399999999999977,0.3500000000000085,-0.6800000000000068,-0.22999999999998977,-0.23000000000000398,-0.060000000000002274,-0.1599999999999966,-0.27000000000001023,-0.23000000000000398,-0.27000000000001023,-0.23000000000000398,NA,NA,NA,NA,1.0100000000000051,0.8400000000000034,-0.39000000000000057,-0.6300000000000097,0.4299999999999926,-1.6599999999999966,NA,NA,0.7600000000000051,0.45999999999999375,0.6899999999999977,0.6000000000000085,NA,NA,0.5900000000000034,-0.1599999999999966,0.29999999999999716,0.75,0.4099999999999966,0.04999999999999716,0.4300000000000068,-0.01999999999999602,0.18999999999999773,-0.1700000000000017,1.3599999999999994,0.1599999999999966,-0.28000000000000114,-0.28999999999999204,-0.28000000000000114,-0.29999999999999716,0.18000000000000682,0.04999999999999716,-1.3799999999999955,-1.3000000000000043,0.3100000000000023,0.22999999999999687,0.4899999999999949,0.4100000000000108,NA,NA,0.5,0.4000000000000057,NA,NA,0.3500000000000085,0.23999999999999488,0.4099999999999966,0.4200000000000017
1962,-0.22999999999998977,-0.22000000000001307,-0.28999999999999204,-0.12999999999999545,-0.4000000000000057,-0.1599999999999966,-0.75,-0.6400000000000006,-1.480000000000004,-0.9500000000000028,-0.030000000000001137,0.04999999999999716,-0.480000000000004,-0.39000000000000057,NA,NA,-0.6800000000000068,-0.7399999999999949,-0.13000000000000966,0.010000000000005116,NA,NA,0.3400000000000034,0.14000000000000057,0.060000000000002274,-0.2400000000000091,0.10999999999999943,0,-0.09999999999999432,0.5200000000000102,0.010000000000005116,-0.5,-0.46999999999999886,-0.46999999999999886,-0.46999999999999886,-0.46999999999999886,0.21999999999999886,1.1599999999999966,0.14000000000000057,0.01999999999999602,0.23000000000000398,-0.060000000000002274,0.13000000000000966,-0.009999999999990905,0.13000000000000966,-0.009999999999990905,NA,NA,NA,NA,-1.0500000000000114,-1.0799999999999983,0.5100000000000051,0.12000000000000455,-0.12000000000000455,0.5899999999999892,NA,NA,-0.5700000000000074,-0.6099999999999994,0.29999999999999716,0.28999999999999204,NA,NA,-1.1500000000000057,-0.8900000000000006,-0.6200000000000045,-1.1099999999999994,-0.75,-0.5,-0.1600000000000108,-0.4700000000000131,0,-0.20000000000000284,1.75,2.710000000000001,0.29999999999999716,-0.14000000000000057,0.45000000000000284,0.10999999999999943,-0.28000000000000114,-0.3100000000000023,1.7199999999999989,1.3100000000000023,-0.3500000000000085,-0.21999999999999886,-0.35999999999999943,-0.5400000000000063,NA,NA,0.04000000000000625,-0.28000000000000114,NA,NA,-0.6300000000000097,-0.519999999999996,-0.11999999999999034,-0.1600000000000108
1963,0.009999999999990905,0.0800000000000125,0.1799999999999926,0.12000000000000455,-0.03999999999999204,-0.29999999999999716,0.7000000000000028,0.9000000000000057,0.7999999999999972,0.5,0.0799999999999983,-0.030000000000001137,0.14000000000000057,-0.15000000000000568,NA,NA,0.5999999999999943,0.37999999999999545,0.5799999999999983,0.480000000000004,NA,NA,-0.030000000000001137,-0.04000000000000625,0.04000000000000625,0.09000000000000341,0.29000000000000625,0.04000000000000625,0.35999999999999943,-0.29000000000000625,0.4399999999999977,0.4200000000000017,-0.09000000000000341,-0.1799999999999926,-0.09000000000000341,-0.1799999999999926,-0.2600000000000051,-0.6700000000000017,-0.07000000000000739,-0.12000000000000455,-0.14000000000000057,-0.22999999999998977,-0.05000000000001137,-0.0799999999999983,-0.05000000000001137,-0.0799999999999983,NA,NA,NA,NA,1.0700000000000074,0.9199999999999875,0.15000000000000568,0.3200000000000074,-0.04999999999999716,-1.1899999999999977,NA,NA,0.1700000000000017,0.01999999999999602,1.1500000000000057,1,NA,NA,1.3900000000000006,0.8500000000000085,0.10000000000000853,0.269999999999996,0.519999999999996,0.39000000000000057,0.21000000000000796,0.05000000000001137,-0.5600000000000023,-0.1799999999999926,0.20000000000000284,0.6000000000000014,0.030000000000001137,-0.04000000000000625,0.10999999999999943,0.03999999999999204,0.9899999999999949,0.8500000000000085,0.5900000000000034,0.6199999999999974,0.5100000000000051,0.44999999999999574,0.5400000000000063,0.18999999999999773,NA,NA,0.18999999999999773,0.1700000000000017,NA,NA,0.7199999999999989,0.5400000000000063,-0.09000000000000341,-0.25
1964,-0.3299999999999983,-0.4200000000000017,0.5300000000000011,0.37999999999999545,0.7000000000000028,0.6099999999999994,0.9200000000000017,0.6699999999999875,1.7900000000000063,1.230000000000004,0.5600000000000023,0.20999999999999375,0.8700000000000045,0.8900000000000006,NA,NA,0.19000000000001194,0.20999999999999375,0.20000000000000284,0.12999999999999545,NA,NA,0.789999999999992,0.5300000000000011,0.3199999999999932,-0.11999999999999034,0.769999999999996,0.6599999999999966,0.5,1,0.269999999999996,0.14000000000000057,1.009999999999991,0.8700000000000045,1.009999999999991,0.8700000000000045,0.7999999999999972,0.46999999999999886,0.8400000000000034,0.7000000000000028,0.8599999999999994,0.8399999999999892,0.8300000000000125,0.6799999999999926,0.8300000000000125,0.6799999999999926,NA,NA,NA,NA,0.6499999999999915,0.4000000000000057,0.3299999999999983,0.19999999999998863,0.3100000000000023,0.75,NA,NA,1.1200000000000045,1.019999999999996,0.46999999999999886,0.4300000000000068,NA,NA,1.2000000000000028,1.509999999999991,1.059999999999988,-0.5,1.1899999999999977,1.1099999999999994,0.4899999999999949,0.269999999999996,0.5799999999999983,0.4399999999999977,0.47000000000000597,0.7899999999999991,0.01999999999999602,-0.05999999999998806,0.0799999999999983,-0.030000000000001137,0.09000000000000341,0.3499999999999943,0.1799999999999926,0.21999999999999886,0.7999999999999972,0.7600000000000051,0.28000000000000114,0.4900000000000091,NA,NA,0.2600000000000051,0.09000000000000341,NA,NA,0.7900000000000063,0.7999999999999972,0.3100000000000023,0.18999999999999773
